grid_id,active_atelerix,invest_atelerix,active_martes,invest_martes,active_eliomys,invest_eliomys,active_oryctolagus,invest_oryctolagus,corridors
cell_19_19,0,0,0,0,0,0,0,0,
cell_19_20,0,0,0,0,0,0,0,0,
cell_19_21,0,0,0,0,0,0,0,0,
cell_19_22,1,1,0,0,0,0,0,0,cell_18_21
cell_19_23,0,0,0,0,0,0,0,0,
cell_19_24,0,0,0,0,0,0,0,0,
cell_19_25,0,0,0,0,0,0,0,0,
cell_19_26,0,0,0,0,0,0,1,1,"cell_19_27,cell_18_26,cell_20_27"
cell_19_27,0,0,1,1,0,0,0,0,"cell_19_28,cell_19_26,cell_20_27,cell_18_26,cell_20_26"
cell_19_28,0,0,1,1,0,0,0,0,"cell_19_27,cell_20_27"
cell_19_29,0,0,0,0,0,0,0,0,
cell_19_30,0,0,0,0,0,0,0,0,
cell_19_31,0,0,0,0,0,0,0,0,
cell_19_32,0,0,0,0,0,0,0,0,
cell_19_33,0,0,0,0,0,0,0,0,
cell_19_34,0,0,0,0,0,0,0,0,
cell_19_35,0,0,0,0,0,0,0,0,
cell_19_36,0,0,0,0,0,0,0,0,
cell_19_37,0,0,0,0,0,0,0,0,
cell_19_38,0,0,0,0,0,0,0,0,
cell_20_19,0,0,0,0,0,0,0,0,
cell_20_20,0,0,0,0,0,0,0,0,
cell_20_21,0,0,0,0,0,0,0,0,
cell_20_22,0,0,0,0,0,0,0,0,
cell_20_23,0,0,0,0,0,0,0,0,
cell_20_24,0,0,0,0,0,0,0,0,
cell_20_25,0,0,0,0,0,0,0,0,
cell_20_26,0,0,0,0,1,0,0,0,"cell_20_27,cell_19_27"
cell_20_27,0,0,0,0,1,1,0,0,"cell_20_26,cell_19_27,cell_21_27,cell_19_28,cell_19_26"
cell_20_28,0,0,0,0,0,0,0,0,
cell_20_29,0,0,0,0,0,0,0,0,
cell_20_30,0,0,0,0,0,0,0,0,
cell_20_31,0,0,0,0,0,0,0,0,
cell_20_32,0,0,0,0,0,0,0,0,
cell_20_33,0,0,0,0,0,0,0,0,
cell_20_34,0,0,0,0,0,0,0,0,
cell_20_35,0,0,0,0,0,0,0,0,
cell_20_36,0,0,0,0,0,0,0,0,
cell_20_37,0,0,0,0,0,0,0,0,
cell_21_18,0,0,0,0,0,0,0,0,
cell_21_19,0,0,0,0,0,0,0,0,
cell_21_20,0,0,0,0,0,0,0,0,
cell_21_21,0,0,0,0,0,0,0,0,
cell_21_22,0,0,0,0,0,0,0,0,
cell_21_23,0,0,0,0,0,0,0,0,
cell_21_24,0,0,0,0,0,0,0,0,
cell_21_25,0,0,0,0,0,0,0,0,
cell_21_26,0,0,0,0,0,0,0,0,
cell_21_27,1,1,0,0,0,0,0,0,"cell_20_27,cell_22_27,cell_22_26"
cell_21_28,0,0,0,0,0,0,0,0,
cell_21_29,0,0,0,0,0,0,0,0,
cell_21_30,0,0,0,0,0,0,0,0,
cell_21_31,0,0,0,0,0,0,0,0,
cell_21_32,0,0,0,0,0,0,0,0,
cell_21_33,0,0,0,0,0,0,0,0,
cell_21_34,0,0,0,0,0,0,0,0,
cell_21_35,0,0,0,0,0,0,0,0,
cell_21_36,0,0,0,0,0,0,0,0,
cell_21_37,0,0,0,0,0,0,0,0,
cell_22_18,0,0,0,0,0,0,0,0,
cell_22_19,0,0,0,0,0,0,0,0,
cell_22_20,0,0,0,0,0,0,0,0,
cell_22_21,0,0,0,0,0,0,0,0,
cell_22_22,0,0,0,0,0,0,0,0,
cell_22_23,1,0,0,0,0,0,0,0,
cell_22_24,0,0,0,0,0,0,0,0,
cell_22_25,0,0,0,0,0,0,0,0,
cell_22_26,1,1,0,0,0,0,0,0,"cell_22_27,cell_23_26,cell_21_27,cell_23_25"
cell_22_27,1,1,0,0,0,0,0,0,"cell_22_26,cell_21_27,cell_23_26"
cell_22_28,0,0,0,0,0,0,0,0,
cell_22_29,0,0,0,0,0,0,0,0,
cell_22_30,0,0,0,0,0,0,0,0,
cell_22_31,0,0,0,0,0,0,0,0,
cell_22_32,0,0,0,0,0,0,0,0,
cell_22_33,0,0,0,0,0,0,0,0,
cell_22_34,0,0,1,1,0,0,0,0,cell_23_35
cell_22_35,0,0,0,0,0,0,0,0,
cell_22_36,0,0,0,0,0,0,0,0,
cell_22_37,0,0,0,0,0,0,0,0,
cell_23_18,0,0,0,0,0,0,0,0,
cell_23_19,0,0,0,0,0,0,0,0,
cell_23_20,0,0,0,0,0,0,0,0,
cell_23_21,0,0,0,0,0,0,0,0,
cell_23_22,0,0,0,0,0,0,0,0,
cell_23_23,0,0,0,0,0,0,0,0,
cell_23_24,1,0,1,0,1,0,1,0,"cell_23_25,cell_24_25,cell_24_23"
cell_23_25,1,1,0,0,0,0,0,0,"cell_23_26,cell_23_24,cell_24_25,cell_22_26,cell_24_24"
cell_23_26,1,1,0,0,0,0,0,0,"cell_23_25,cell_22_26,cell_22_27,cell_24_25"
cell_23_27,0,0,0,0,0,0,0,0,
cell_23_28,0,0,0,0,0,0,0,0,
cell_23_29,0,0,0,0,0,0,0,0,
cell_23_30,0,0,0,0,0,0,0,0,
cell_23_31,0,0,0,0,0,0,0,0,
cell_23_32,1,1,0,0,0,0,0,0,"cell_23_33,cell_24_33,cell_24_31"
cell_23_33,0,0,0,0,1,0,0,0,"cell_23_32,cell_24_33"
cell_23_34,0,0,0,0,0,0,0,0,
cell_23_35,0,0,0,0,1,1,0,0,"cell_24_35,cell_24_36,cell_22_34,cell_24_34"
cell_23_36,0,0,0,0,0,0,0,0,
cell_23_37,0,0,0,0,0,0,0,0,
